Index | Bit-true Hex Real | Bit-true Hex Imag | Int Real | Int Imag
 980  | 04FD             | 04E5             |   1277   |   1253
 981  | 0247             | FEFC             |    583   |   -260
 982  | 02AF             | 01DE             |    687   |    478
 983  | 02EF             | 0271             |    751   |    625
 984  | 0232             | 02D9             |    562   |    729
 985  | FC51             | 03A2             |   -943   |    930
 986  | 0172             | FE23             |    370   |   -477
 987  | FF58             | 017E             |   -168   |    382
 988  | 010B             | FE61             |    267   |   -415
 989  | 005A             | 0208             |     90   |    520
 990  | 04A7             | FC3F             |   1191   |   -961
 991  | 0223             | 09E0             |    547   |   2528
 992  | FAE5             | 0041             |  -1307   |     65
 993  | FF3E             | FFBB             |   -194   |    -69
 994  | 00D7             | 000C             |    215   |     12
 995  | FD36             | 0101             |   -714   |    257
 996  | 0006             | FEBC             |      6   |   -324
 997  | 01FC             | FEA1             |    508   |   -351
 998  | FF43             | 0249             |   -189   |    585
 999  | FF47             | 022C             |   -185   |    556
1000  | FC88             | FE6A             |   -888   |   -406
1001  | FD6C             | FB31             |   -660   |  -1231
1002  | 0498             | FEA7             |   1176   |   -345
1003  | 010A             | FE36             |    266   |   -458
1004  | 002E             | FF02             |     46   |   -254
1005  | 064C             | 0048             |   1612   |     72
1006  | FDD9             | 0147             |   -551   |    327
1007  | 0399             | FF83             |    921   |   -125
1008  | FFE6             | 026F             |    -26   |    623
1009  | 009A             | FEA0             |    154   |   -352
1010  | 0197             | 0141             |    407   |    321
1011  | 0146             | 008C             |    326   |    140
1012  | FE8C             | 0113             |   -372   |    275
1013  | 033F             | FD49             |    831   |   -695
1014  | 0222             | 0414             |    546   |   1044
1015  | FFA0             | 0032             |    -96   |     50
1016  | 012A             | 01E8             |    298   |    488
1017  | 0021             | 00B5             |     33   |    181
1018  | FFFE             | 0229             |     -2   |    553
1019  | FFDC             | 010E             |    -36   |    270
1020  | FEEC             | 0065             |   -276   |    101
1021  | FFA3             | 005B             |    -93   |     91
1022  | FFD3             | 001C             |    -45   |     28
1023  | FFDA             | 0009             |    -38   |      9
